,permno,ticker
0,10000,OMFGA
1,10001,GFGC
2,10001,EWST
3,10001,EWST
4,10001,EGAS
5,10001,EGAS
6,10001,EGAS
7,10002,MBNC
8,10002,SABC
9,10002,SABC
10,10002,BTFG
11,10003,GCBK
12,10003,GCBK
13,10004,CLSO
14,10005,WERC
15,10006,
16,10006,
17,10006,ACF
18,10006,ACF
19,10007,SDIC
20,10007,SDICV
21,10007,SDIC
22,10007,
23,10007,SHRD
24,10008,GACO
25,10009,CAYB
26,10009,CAYB
27,10009,CAYB
28,10009,IROQ
29,10009,IROQ
30,10010,CBOT
31,10011,ATCE
32,10011,ATCE
33,10011,ATCS
34,10012,DPAC
35,10012,
36,10012,DPAC
37,10012,DPAC
38,10012,DPAC
39,10012,DPAC
40,10013,AAPI
41,10014,
42,10014,
43,10014,
44,10014,AJ
45,10014,AJ
46,10015,AMFD
47,10016,FIGIA
48,10016,FIGIA
49,10016,SCTTA
50,10016,SCTT
51,10016,SCTT
52,10017,CCUR
53,10018,DCIS
54,10019,IFRS
55,10020,KEYC
56,10021,BIRI
57,10021,BIRI
58,10022,
59,10022,
60,10023,
61,10024,DOCX
62,10025,AEPI
63,10025,AEPI
64,10026,JJSF
65,10026,JJSF
66,10027,TNII
67,10027,TNII
68,10028,MINT
69,10028,MINT
70,10028,MINT
71,10028,MINT
72,10028,DLS
73,10028,DLS
74,10028,DLS
75,10028,DGSE
76,10028,DGSE
77,10028,DGC
78,10028,DGSE
79,10028,DGSE
80,10028,DGSE
81,10028,ELA
82,10029,AIFS
83,10029,AIF
84,10030,
85,10030,
86,10030,ABK
87,10030,ABK
88,10031,ANTQ
89,10031,ANTQ
90,10032,PLXS
91,10033,MABK
92,10034,HCSB
93,10035,GGUY
94,10036,NURO
95,10037,FSLA
96,10037,FSLA
97,10037,FSVB
98,10037,FSVB
99,10037,FSVB
100,10037,FBCP
101,10038,POCI
102,10038,POCI
103,10039,XIOX
104,10039,XIOX
105,10039,ATCM
106,10039,ATCM
107,10040,HARVY
108,10040,HARVY
109,10041,GGGG
110,10042,CYNR
111,10042,CAU
112,10042,CAU
113,10042,CAU
114,10043,AATI
115,10043,AATI
116,10043,AATI
117,10044,RMCF
118,10044,RMCF
119,10044,RMCF
120,10045,OLVR
121,10046,CPUIA
122,10046,CPUIA
123,10046,MENUA
124,10046,MENU
125,10047,FOAM
126,10047,LMNT
127,10047,LMNT
128,10047,LMNT
129,10047,LMNT
130,10048,CCCO
131,10048,CTY
132,10048,CTYA
133,10049,
134,10050,ABLD
135,10050,ABCC
136,10051,SEQL
137,10051,SEQL
138,10051,HOGG
139,10051,HNGR
140,10051,HNGR
141,10051,HGR
142,10051,HGR
143,10051,HGR
144,10051,HGR
145,10051,
146,10051,HNGR
147,10051,HNGR
148,10052,VLVL
149,10053,CDNI
150,10054,BNUI
151,10055,GRAR
152,10055,GRAR
153,10056,NMSB
154,10056,NMSB
155,10056,NMSB
156,10056,NMSB
157,10056,NMIL
158,10057,
159,10057,NCM
160,10057,AMT
161,10057,AMT
162,10058,ABKC
163,10058,
164,10058,ABKC
165,10059,OFSLY
166,10060,FSCNY
167,10061,USBK
168,10061,USBK
169,10062,NOAX
170,10062,NOAX
171,10062,ENSO
172,10062,ENSO
173,10063,NMRC
174,10063,AHTS
175,10064,TTOY
176,10064,TTI
177,10065,
178,10065,
179,10065,ADX
180,10065,ADX
181,10065,ADX
182,10065,ADX
183,10066,ABMC
184,10066,FTCO
185,10066,
186,10066,FCM
187,10066,FCM
188,10066,FCM
189,10066,FCM
190,10066,
191,10066,
192,10066,FKWL
193,10067,HYGA
194,10068,APGI
195,10069,AJIL
196,10070,DIGT
197,10071,ABSB
198,10071,AB
199,10072,DEWS
200,10072,SMRX
201,10072,
202,10072,SMRX
203,10073,
204,10073,
205,10074,ABSI
206,10074,ABSI
207,10075,VWRX
208,10075,VWRX
209,10076,SCAT
210,10077,STRS
211,10078,SUNW
212,10078,JAVA
213,10078,JAVA
214,10079,GCCC
215,10080,MHCO
216,10080,MHCO
217,10081,
218,10082,ACSE
219,10082,ACSE
220,10082,
221,10082,ACSE
222,10083,TKAI
223,10083,CMTK
224,10084,CRCC
225,10084,CRCC
226,10085,UICI
227,10085,UICI
228,10085,UCI
229,10086,LBSC
230,10087,BUTI
231,10088,VRBB
232,10089,SYNR
233,10089,ATGI
234,10089,ATGI
235,10090,AMSE
236,10090,AMSE
237,10091,ITXI
238,10092,LCIC
239,10092,KIDE
240,10092,KDE
241,10092,KDE
242,10093,AIRC
243,10093,AIRC
244,10093,AIRC
245,10094,TUES
246,10094,TUES
247,10095,SYGN
248,10096,CIBA
249,10097,FACE
250,10097,
251,10097,FACE
252,10097,FACE
253,10097,FACE
254,10097,FIX
255,10097,FACE
256,10098,PTEK
257,10098,POLY
258,10099,ABCI
259,10100,AMCE
260,10100,AMCE
261,10100,ALRN
262,10101,PACR
263,10102,
264,10102,AN
265,10102,AN
266,10102,AN
267,10103,ACSC
268,10103,ACSC
269,10104,ORCL
270,10104,ORCL
271,10104,ORCL
272,10104,ORCL
273,10105,TPPS
274,10106,LNSB
275,10106,LNSB
276,10107,MSFT
277,10108,SNDT
278,10108,SDS
279,10109,FCDA
280,10109,FCDA
281,10109,MWSB
282,10110,
283,10111,
284,10112,IFEX
285,10113,AADR
286,10113,AADR
287,10114,AKLM
288,10114,AKLM
289,10114,AKLM
290,10115,CSBN
291,10116,HADR
292,10116,HDG
293,10116,HDG
294,10116,HDG
295,10116,
296,10116,
297,10116,
298,10116,ACUR
299,10116,ACUR
300,10117,UMBE
301,10118,COHY
302,10119,TWEN
303,10119,TW
304,10119,TW
305,10119,TW
306,10120,PIPR
307,10120,PJC
308,10120,PJC
309,10121,MCOR
310,10122,MSBK
311,10122,REGB
312,10122,MDBK
313,10122,MDBK
314,10122,MDBK
315,10123,ACMI
316,10123,AK
317,10123,AK
318,10123,AK
319,10124,LERN
320,10124,
321,10124,LERN
322,10125,DIVY
323,10125,LEOS
324,10125,LEOS
325,10125,LEOS
326,10125,LI
327,10126,OVWV
328,10126,OVWV
329,10126,OV
330,10127,PBFI
331,10127,PBFI
332,10128,LAMN
333,10128,
334,10128,LAMN
335,10128,
336,10128,LAMN
337,10128,DTEK
338,10129,
339,10130,NFSL
340,10130,NFSL
341,10130,NFSL
342,10130,NFSL
343,10130,NFSL
344,10130,FSTC
345,10130,FSTC
346,10131,SBTC
347,10132,NIBC
348,10133,TELQ
349,10133,
350,10133,TELQ
351,10134,EGCB
352,10135,FARK
353,10135,FARK
354,10136,CABL
355,10137,
356,10137,
357,10137,
358,10137,AYP
359,10137,AYP
360,10137,AYE
361,10138,TROW
362,10138,TROW
363,10139,ADFC
364,10140,SRCO
365,10141,GNDR
366,10142,IMTC
367,10142,IMTC
368,10143,ONCS
369,10143,OSIP
370,10144,NICE
371,10145,
372,10145,
373,10145,ACD
374,10145,ACD
375,10145,ALD
376,10145,ALD
377,10145,ALD
378,10145,ALD
379,10145,ALD
380,10145,HON
381,10145,HON
382,10145,HON
383,10145,HON
384,10145,HON
385,10145,HON
386,10146,APLI
387,10146,AECE
388,10146,AECE
389,10147,EMCS
390,10147,EMC
391,10147,EMC
392,10148,TRAD
393,10148,TRAD
394,10149,EBSI
395,10149,EBSI
396,10150,TLII
397,10150,TLII
398,10150,TLII
399,10151,GRV
400,10151,AGLS
401,10152,ADTI
402,10153,
403,10153,AH
404,10153,AH
405,10153,AH
406,10154,AELB
407,10154,AELNA
408,10155,ELGT
409,10155,
410,10155,ELGT
411,10155,ELGT
412,10156,JHSL
413,10156,JHSL
414,10156,JHSL
415,10156,JHSL
416,10156,JHSL
417,10157,NSBK
418,10158,AMRC
419,10158,AMRC
420,10158,AMRC
421,10158,AMRC
422,10159,ICTX
423,10159,ICTX
424,10160,SAND
425,10160,SAND
426,10160,SANDV
427,10160,SAND
428,10160,SAND
429,10160,SAND
430,10161,
431,10161,
432,10161,AMX
433,10161,AMX
434,10161,AMX
435,10162,AEST
436,10163,XRIT
437,10164,CAAN
438,10164,CAAN
439,10165,LBNK
440,10166,LLEC
441,10167,EVIAA
442,10167,EVAA
443,10168,ARNX
444,10169,PADS
445,10170,RYFL
446,10170,RYFL
447,10171,CTWL
448,10172,GNTE
449,10172,GNTE
450,10172,
451,10172,GNTE
452,10173,SEAB
453,10173,SEAB
454,10173,SEAB
455,10174,JNBK
456,10175,BARY
457,10175,BARY
